stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
248505,"Sandhofen Rathaus",8.443168,49.545011,STATION,508489,8443163,49545000,Mannheim,"Sandhofen Rathaus",BUS,50
554808,"Alte Feuerwache",8.472299,49.495806,STATION,518332,8472315,49495802,Mannheim,"Alte Feuerwache",TRAM;BUS,50
212106,"Maudacher Straße",8.415736,49.461126,STATION,508377,8415683,49461194,"Ludwigshafen am Rhein","Mundenheim Maudacher Straße",BUS,50
237405,Sonnenschein,8.505328,49.521977,STATION,511087,8505279,49521997,Mannheim,"Käfertal Sonnenschein",BUS,50
119462,Stadtwerke,8.68284,49.405512,STATION,518207,8682636,49405460,Heidelberg,Stadtwerke,TRAM;BUS,50
554805,"Alte Feuerwache",8.473743,49.496093,STATION,518331,8473655,49496036,Mannheim,"Alte Feuerwache",TRAM;BUS,50
344301,Steinachbrücke,8.801416,49.466984,STATION,505109,8801464,49466974,"Schönau (Odenwald)","Altneudorf Steinachbrücke",BUS,50
237406,Sonnenschein,8.50514,49.521834,STATION,507628,8505099,49521835,Mannheim,"Käfertal Sonnenschein",BUS,50
344302,Steinachbrücke,8.801389,49.467193,STATION,505109,8801464,49466974,"Schönau (Odenwald)","Altneudorf Steinachbrücke",BUS,50
212105,"Maudacher Straße",8.415829,49.461268,STATION,508377,8415683,49461194,"Ludwigshafen am Rhein","Mundenheim Maudacher Straße",BUS,50
124801,"Ziegelh. Friedhof",8.76095,49.41959,STATION,510792,8760986,49419511,Heidelberg,"Ziegelhausen Friedhof",BUS,50
554801,"Alte Feuerwache",8.47323,49.495633,STATION,518331,8473655,49496036,Mannheim,"Alte Feuerwache",TRAM;BUS,100
124802,"Ziegelh. Friedhof",8.760851,49.419649,STATION,510792,8760986,49419511,Heidelberg,"Ziegelhausen Friedhof",BUS,50
554802,"Alte Feuerwache",8.47368,49.49614,STATION,518331,8473655,49496036,Mannheim,"Alte Feuerwache",TRAM;BUS,50
554803,"Alte Feuerwache",8.47379,49.49612,STATION,518331,8473655,49496036,Mannheim,"Alte Feuerwache",TRAM;BUS,50
258305,"Freiberger Ring",8.540666,49.50929,STATION,518785,8540633,49509286,Mannheim,"Vogelstang Freiberger Ring",BUS,50
260205,"Magdeburger Straße",8.546999,49.51379,STATION,510197,8547007,49513807,Mannheim,"Vogelstang Magdeburger Straße",BUS,50
240612,Fernmeldeturm,8.493381,49.486838,STATION,508125,8493314,49486921,Mannheim,Fernmeldeturm,TRAM,50
240611,Fernmeldeturm,8.493401,49.486875,STATION,508125,8493314,49486921,Mannheim,Fernmeldeturm,TRAM,50
